Day,Chla,PO4,NO3,SST,SSW
1,0.256998419761658,66.9064489006996,407.240468978882,13.5943603515625,8.73243999481201
2,0.256424307823181,66.8846768140793,405.975074768066,13.7138290405273,8.48663711547852
3,0.255285769701004,66.7389085888863,404.006177902222,14.1786661148071,7.45354223251343
4,0.254107862710953,66.5891823172569,402.091087341309,14.2047147750854,6.64078378677368
5,0.254477202892303,66.2980648875237,399.26099395752,14.5035820007324,7.08325386047363
6,0.253090292215347,65.8494862914085,395.42581653595,14.4283599853516,9.13560104370117
7,0.252210825681686,65.4634380340576,392.221532821655,14.3215131759644,8.42688274383545
8,0.251120299100876,64.98205691576,388.472829818726,14.3868103027344,8.13766098022461
9,0.249994501471519,64.4505178928375,384.506979942322,14.4205350875854,8.29903602600098
10,0.249620094895363,63.9830777049065,380.98104095459,14.5331773757935,9.4063606262207
11,0.245942130684853,63.7027189135551,378.41734790802,14.6004409790039,7.82088708877563
12,0.246245443820953,63.2415753602982,374.925614356995,14.8074998855591,7.2166223526001
13,0.244725421071053,62.3372834920883,368.611947059631,15.1168174743652,10.2464714050293
14,0.243716761469841,61.6477680206299,363.110281944275,15.0034790039062,8.32400131225586
15,0.243774682283401,61.4996328949928,361.196373939514,15.0086326599121,8.17150974273682
16,0.241652220487595,60.8197888731956,355.591353416443,14.8371057510376,9.89891719818115
17,0.234637573361397,59.6599170565605,346.151185035706,14.7038841247559,8.52446174621582
18,0.233497813344002,59.0017148852348,340.542675971985,14.8599271774292,6.3012809753418
19,0.232841283082962,58.1529319286346,333.60931968689,14.8584470748901,8.76615810394287
20,0.225505471229553,55.8743146061897,315.023173332214,14.7309494018555,9.2157506942749
21,0.217971250414848,53.8506770133972,298.292161941528,14.7518768310547,8.01204395294189
22,0.211963638663292,51.9308489561081,281.956479072571,14.7102880477905,10.6263694763184
23,0.204880893230438,49.018774330616,256.904411315918,14.6250638961792,9.68838024139404
24,0.197837322950363,45.8565925061703,228.656249046326,14.7431259155273,7.2842845916748
25,0.186457172036171,44.5645140111446,214.897725582123,14.759222984314,7.91949367523193
26,0.185925513505936,44.2660467326641,210.957078933716,14.8972425460815,8.04219818115234
27,0.189600050449371,43.5080157220364,204.127078056335,15.0203285217285,8.04244422912598
